company_name,city,province,industry_tags,why_match,likely_roles,website,careers_url,evidence_sources,confidence_score
Artificial Intelligence and Machine Learning ...,Edmonton,Alberta,"AI/ML, Ai, Ml","Tech focus: artificial intelligence, machine learning, AI.",ML Engineer,https://businessinedmonton.com/featured/artificial-intelligence-and-machine-learning-the-future-of-business-development/,https://businessinedmonton.com/careers,https://businessinedmonton.com/featured/artificial-intelligence-and-machine-learning-the-future-of-business-development/; https://businessinedmonton.com/featured/artificial-intelligence-and-machine-learning-the-future-of-business-development/,40
Tom,Edmonton,Alberta,"Cloud, Data Engineering, Data Science","Tech focus: data science, data engineering, cloud. Hiring for: software engineer, data engineer.","Data Engineer, Software Engineer",https://igotanoffer.com/en/coach/tom-2,https://igotanoffer.com/careers,https://igotanoffer.com/en/coach/tom-2,40
Data & AI Consultant,Edmonton,Alberta,"Ai, Data Engineering, Energy","Tech focus: AI, data engineering. Domain fit: energy.",ML Engineer,https://lantern.pinpointhq.com/postings/59f013dc-0751-4dcc-ab6d-3205b930acef,https://lantern.pinpointhq.com/careers,https://lantern.pinpointhq.com/postings/59f013dc-0751-4dcc-ab6d-3205b930acef,38
Aijobs,Other Alberta,Alberta,"AI/ML, Ai","Tech focus: machine learning, AI. Hiring for: machine learning engineer.",ML Engineer,https://aijobs.vercel.app,https://aijobs.vercel.app/ai-jobs-in-canada,https://aijobs.vercel.app/ai-jobs-in-canada; https://aijobs.vercel.app/ai-jobs-in-canada,35
Acceleratefund,Edmonton,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, machine learning, AI.",ML Engineer,https://acceleratefund.ca/news/accelerate-fund-ii-invests-in-testfire-labs-ai-software-to-make-business-meetings-more-productive/,https://acceleratefund.ca/careers,https://acceleratefund.ca/news/accelerate-fund-ii-invests-in-testfire-labs-ai-software-to-make-business-meetings-more-productive/,30
Top Artificial Intelligence Companies in Alberta,Other Alberta,Alberta,"AI/ML, Ai, Cloud","Tech focus: artificial intelligence, AI, cloud.","ML Engineer, Platform Engineer",https://clutch.co/ca/developers/artificial-intelligence/alberta,https://clutch.co/careers,https://clutch.co/ca/developers/artificial-intelligence/alberta,30
Calgary Jobs in Canada,Calgary,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://searchcanadajobs.com,https://searchcanadajobs.com/search/calgary-jobs-canada/,https://searchcanadajobs.com/search/calgary-jobs-canada/; https://searchcanadajobs.com/search/regional-sales-manager-calgary-jobs-canada/; https://searchcanadajobs.com/search/publisher-jobs-canada/; https://searchcanadajobs.com/search/nw-calgary-driver-helper-walkers-calgary-jobs-canada/,30
Thea100,Calgary,Alberta,"AI/ML, Ai, Data Science","Tech focus: machine learning, AI, data science.",ML Engineer,https://thea100.org/blog/building-calgarys-applied-ai-talent-pool/,https://thea100.org/careers,https://thea100.org/blog/building-calgarys-applied-ai-talent-pool/,30
Aiforsocialgood,Alberta (unspecified),Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, machine learning, AI.",ML Engineer,https://aiforsocialgood.ca/education/ai-programs-in-canada,https://aiforsocialgood.ca/careers,https://aiforsocialgood.ca/education/ai-programs-in-canada,30
Betakit,Calgary,Alberta,"AI/ML, Ai, Energy","Tech focus: artificial intelligence, AI. Domain fit: energy.",ML Engineer,https://betakit.com/calgary-tech-talks-about-a-different-kind-of-energy-at-innovation-week/,https://betakit.com/careers,https://betakit.com/calgary-tech-talks-about-a-different-kind-of-energy-at-innovation-week/; https://betakit.com/report-as-albertas-tech-sector-matures-rate-of-new-startups-is-slowing/; https://betakit.com/3-healthtech-jobs-available-in-toronto-right-now/; https://betakit.com/ht-the-healthtech-times-canadian-pharmaceutical-research-spending-dropped-in-2022/; https://betakit.com/ht-the-healthtech-times-inside-canadas-indeed-for-doctors/; https://betakit.com/alberta-tech-ceos-sign-letter-claiming-restrictions-over-software-engineer-title-hampering-provinces-talent-gains/,28
Macleans,Edmonton,Alberta,"AI/ML, Ai, Energy","Tech focus: machine learning, AI. Domain fit: energy.",ML Engineer,https://macleans.ca/education/ai-computer-science-alberta/,https://macleans.ca/careers,https://macleans.ca/education/ai-computer-science-alberta/,28
Energi,Calgary,Alberta,"CleanTech, Energy, Oilfield","Domain fit: cleantech, energy.",,https://energi.media/markham-on-energy/which-way-ya-goin-alberta-time-to-say-farewell-to-junior-oil-gas-sector-invest-heavily-in-oilfield-technology-cleantech-manufacturing/,https://energi.media/careers,https://energi.media/markham-on-energy/which-way-ya-goin-alberta-time-to-say-farewell-to-junior-oil-gas-sector-invest-heavily-in-oilfield-technology-cleantech-manufacturing/; https://energi.media/markham-on-energy/graham-hicks-downstream-diversification-alberta-05mar18/,24
brs,Other Alberta,Alberta,"Energy, Saas, Utilities","Domain fit: energy, utilities.",,https://bowriversolutions.com/blog/saas-alberta-energy-oil-gas-mining-utilities,https://bowriversolutions.com/careers,https://bowriversolutions.com/blog/saas-alberta-energy-oil-gas-mining-utilities,24
Calgary,Other Alberta,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://calgary.citynews.ca/2025/05/21/alberta-ai-research-institute-google-funding/,https://calgary.citynews.ca/careers,https://calgary.citynews.ca/2025/05/21/alberta-ai-research-institute-google-funding/; https://calgary.citynews.ca/2021/04/22/alberta-tech-industry-continuing-rapid-growth-in-past-two-years-study/,20
Aithority,Calgary,Alberta,"AI/ML, Ai","Tech focus: artificial intelligence, AI.",ML Engineer,https://aithority.com/machine-learning/calgary-app-developer-to-add-software-division-focused-on-ai-and-web-3-0-apps/,https://aithority.com/careers,https://aithority.com/machine-learning/calgary-app-developer-to-add-software-division-focused-on-ai-and-web-3-0-apps/; https://aithority.com/news/amii-announces-ai-week-in-may-to-celebrate-ai-ml-success-in-stem/; https://aithority.com/news/amii-announces-ai-week-in-may-to-celebrate-ai-ml-success-in-stem/,20
"46 Jobs and Internships in Calgary, Canada",Calgary,Alberta,AI/ML,Tech focus: machine learning.,ML Engineer,https://www.iagora.com,https://www.iagora.com/work/en/jobs-and-internships/canada/calgary,https://www.iagora.com/work/en/jobs-and-internships/canada/calgary; https://www.iagora.com/work/en/jobs-and-internships/canada/calgary,20
Datasciencejobscanada,Calgary,Alberta,Data Science,Tech focus: data science.,,https://www.datasciencejobscanada.com,https://www.datasciencejobscanada.com/locations/data-science-jobs-calgary,https://www.datasciencejobscanada.com/locations/data-science-jobs-calgary; https://www.datasciencejobscanada.com/locations/data-science-jobs-edmonton; https://www.datasciencejobscanada.com/province/alberta; https://www.datasciencejobscanada.com/province/alberta; https://www.datasciencejobscanada.com/locations/data-science-jobs-calgary; https://www.datasciencejobscanada.com/; https://www.datasciencejobscanada.com/province/alberta,20
S&P Global Jobs,Calgary,Alberta,Api,Tech focus: API.,Backend Engineer,https://spglobalcareers.dejobs.org,https://spglobalcareers.dejobs.org/software-developer/jobs-in/can/jobs/,https://spglobalcareers.dejobs.org/software-developer/jobs-in/can/jobs/,20
Telecomreviewamericas,Calgary,Alberta,"Aws, Cloud","Tech focus: cloud, AWS.",Platform Engineer,https://www.telecomreviewamericas.com/articles/cloud-and-enterprise-business/western-canada-s-first-major-cloud-boost-comes-from-aws/,https://www.telecomreviewamericas.com/careers,https://www.telecomreviewamericas.com/articles/cloud-and-enterprise-business/western-canada-s-first-major-cloud-boost-comes-from-aws/,20
